grandfather_name,son_name,pur_acct,childdate1,childdate2,childname1,childname2,daughter_name,father_name,father_in_law,mother_name,spouse_name,duaghter_in_law,grand_moth_name
Ramesh Gurung,Deepak Gurung,AM4138891,2014-04-03,2008-12-26,Hari Gurung,Manoj Gurung,Radha Gurung,Deepak Gurung,Hari Gurung,Sita Gurung,Sunita Gurung,Radha Gurung,Radha Gurung
Gopal Karki,Bikash Karki,YN3237034,2008-07-12,2018-06-28,Kamala Karki,Sunita Karki,Sunita Karki,Hari Karki,Ram Karki,Maya Karki,Ramesh Karki,Sita Karki,Sabita Karki
Kiran Tamang,Manoj Tamang,SW0871217,2019-10-22,2018-03-18,Rita Tamang,Shyam Tamang,Sabita Tamang,Ramesh Tamang,Manoj Tamang,Maya Tamang,Sunita Tamang,Gita Tamang,Sunita Tamang
Shyam Subedi,Shyam Subedi,BY6193166,2023-04-19,2022-12-01,Rita Subedi,Maya Subedi,Rita Subedi,Kiran Subedi,Deepak Subedi,Kamala Subedi,Sunita Subedi,Gita Subedi,Laxmi Subedi
Hari Dhakal,Deepak Dhakal,GW8202853,2012-10-16,2007-07-28,Kamala Dhakal,Gopal Dhakal,Sabita Dhakal,Ramesh Dhakal,Deepak Dhakal,Kamala Dhakal,Hari Dhakal,Sunita Dhakal,Sunita Dhakal
Gopal Adhikari,Bikash Adhikari,TE1159033,2018-05-17,2017-07-26,Ramesh Adhikari,Hari Adhikari,Rita Adhikari,Bikash Adhikari,Shyam Adhikari,Radha Adhikari,Asha Adhikari,Rita Adhikari,Asha Adhikari
Kiran Magar,Bikash Magar,UB2718795,2020-11-02,2006-11-23,Hari Magar,Bikash Magar,Sunita Magar,Ram Magar,Kiran Magar,Kamala Magar,Manoj Magar,Maya Magar,Radha Magar
Anil Acharya,Manoj Acharya,JJ0561145,2013-08-29,2019-06-14,Bikash Acharya,Deepak Acharya,Kamala Acharya,Bikash Acharya,Hari Acharya,Asha Acharya,Ramesh Acharya,Maya Acharya,Laxmi Acharya
Manoj Bhattarai,Ram Bhattarai,TX2296908,2020-02-15,2008-05-03,Radha Bhattarai,Kamala Bhattarai,Kamala Bhattarai,Bikash Bhattarai,Gopal Bhattarai,Maya Bhattarai,Hari Bhattarai,Laxmi Bhattarai,Kamala Bhattarai
Gopal Subedi,Shyam Subedi,HD3882512,2009-03-24,2008-03-10,Sita Subedi,Anil Subedi,Kamala Subedi,Shyam Subedi,Ram Subedi,Radha Subedi,Sabita Subedi,Rita Subedi,Gita Subedi
Ram Rai,Manoj Rai,FN0075274,2009-05-10,2012-08-21,Gita Rai,Sunita Rai,Radha Rai,Bikash Rai,Ram Rai,Radha Rai,Maya Rai,Asha Rai,Sabita Rai
Kiran Gurung,Kiran Gurung,UM1206467,2012-02-11,2019-02-06,Rita Gurung,Anil Gurung,Maya Gurung,Anil Gurung,Anil Gurung,Kamala Gurung,Maya Gurung,Rita Gurung,Rita Gurung
Shyam Acharya,Kiran Acharya,XM4693236,2022-01-15,2011-03-12,Kiran Acharya,Asha Acharya,Sabita Acharya,Hari Acharya,Kiran Acharya,Radha Acharya,Bikash Acharya,Gita Acharya,Asha Acharya
Deepak Karki,Bikash Karki,ZK2975300,2007-04-20,2016-03-14,Ramesh Karki,Deepak Karki,Asha Karki,Bikash Karki,Anil Karki,Gita Karki,Manoj Karki,Radha Karki,Sita Karki
Bikash Adhikari,Kiran Adhikari,LS8347593,2008-06-19,2019-11-14,Radha Adhikari,Manoj Adhikari,Kamala Adhikari,Anil Adhikari,Anil Adhikari,Maya Adhikari,Kiran Adhikari,Kamala Adhikari,Radha Adhikari
Bikash Subedi,Deepak Subedi,UA0537321,2006-10-20,2008-01-09,Kamala Subedi,Hari Subedi,Sunita Subedi,Hari Subedi,Shyam Subedi,Kamala Subedi,Shyam Subedi,Kamala Subedi,Kamala Subedi
Manoj Rijal,Shyam Rijal,YG5088781,2010-12-01,2022-10-17,Kamala Rijal,Ramesh Rijal,Laxmi Rijal,Shyam Rijal,Deepak Rijal,Rita Rijal,Anil Rijal,Radha Rijal,Asha Rijal
Ramesh Chhetri,Deepak Chhetri,CO7780075,2014-09-30,2021-07-11,Bikash Chhetri,Manoj Chhetri,Gita Chhetri,Manoj Chhetri,Manoj Chhetri,Laxmi Chhetri,Hari Chhetri,Gita Chhetri,Asha Chhetri
Anil Adhikari,Hari Adhikari,BB3362714,2019-01-10,2015-03-11,Gita Adhikari,Ramesh Adhikari,Sita Adhikari,Anil Adhikari,Bikash Adhikari,Rita Adhikari,Manoj Adhikari,Laxmi Adhikari,Laxmi Adhikari
Kiran Chhetri,Shyam Chhetri,GO8050082,2013-09-02,2010-05-27,Sita Chhetri,Kiran Chhetri,Sita Chhetri,Gopal Chhetri,Deepak Chhetri,Maya Chhetri,Sabita Chhetri,Laxmi Chhetri,Gita Chhetri
Deepak Adhikari,Ramesh Adhikari,WY2282858,2014-10-06,2015-08-19,Manoj Adhikari,Sita Adhikari,Sunita Adhikari,Shyam Adhikari,Ram Adhikari,Laxmi Adhikari,Maya Adhikari,Laxmi Adhikari,Maya Adhikari
Hari Dhakal,Bikash Dhakal,UJ9203916,2011-10-16,2020-09-26,Sita Dhakal,Ramesh Dhakal,Sita Dhakal,Ram Dhakal,Anil Dhakal,Laxmi Dhakal,Sabita Dhakal,Sunita Dhakal,Sita Dhakal
Bikash Acharya,Shyam Acharya,JQ0324399,2023-05-16,2016-03-12,Kamala Acharya,Radha Acharya,Maya Acharya,Bikash Acharya,Bikash Acharya,Sita Acharya,Asha Acharya,Sunita Acharya,Sunita Acharya
Kiran Lama,Manoj Lama,JB6287768,2023-08-31,2010-10-17,Anil Lama,Gopal Lama,Sabita Lama,Manoj Lama,Bikash Lama,Sabita Lama,Gopal Lama,Kamala Lama,Maya Lama
Gopal Acharya,Ram Acharya,TK7578874,2010-12-10,2014-08-09,Radha Acharya,Sunita Acharya,Laxmi Acharya,Anil Acharya,Anil Acharya,Sita Acharya,Sita Acharya,Radha Acharya,Maya Acharya
Ram Chhetri,Manoj Chhetri,SD3338600,2020-11-02,2024-03-19,Ramesh Chhetri,Manoj Chhetri,Kamala Chhetri,Bikash Chhetri,Ram Chhetri,Sita Chhetri,Ram Chhetri,Sunita Chhetri,Sunita Chhetri
Gopal Acharya,Hari Acharya,QO8583948,2007-09-28,2014-03-21,Sita Acharya,Rita Acharya,Sunita Acharya,Gopal Acharya,Manoj Acharya,Sabita Acharya,Sunita Acharya,Asha Acharya,Sunita Acharya
Ramesh Poudel,Ramesh Poudel,KG7833746,2023-06-15,2024-03-05,Sita Poudel,Sabita Poudel,Rita Poudel,Bikash Poudel,Deepak Poudel,Asha Poudel,Sita Poudel,Radha Poudel,Kamala Poudel
Anil Shrestha,Anil Shrestha,ON5578101,2015-06-27,2019-02-01,Hari Shrestha,Gopal Shrestha,Laxmi Shrestha,Ramesh Shrestha,Deepak Shrestha,Maya Shrestha,Gopal Shrestha,Radha Shrestha,Rita Shrestha
Manoj Karki,Deepak Karki,UB1529539,2021-12-13,2019-02-22,Anil Karki,Asha Karki,Rita Karki,Manoj Karki,Shyam Karki,Rita Karki,Asha Karki,Gita Karki,Rita Karki
Deepak Thapa,Ram Thapa,VX2553873,2008-07-03,2009-08-26,Radha Thapa,Manoj Thapa,Radha Thapa,Manoj Thapa,Hari Thapa,Rita Thapa,Hari Thapa,Gita Thapa,Sabita Thapa
Ramesh Thapa,Hari Thapa,DD8575822,2007-11-10,2008-09-09,Ramesh Thapa,Manoj Thapa,Gita Thapa,Anil Thapa,Gopal Thapa,Laxmi Thapa,Ramesh Thapa,Kamala Thapa,Sita Thapa
Hari Karki,Ram Karki,OZ5943939,2010-05-29,2015-09-02,Deepak Karki,Hari Karki,Kamala Karki,Hari Karki,Hari Karki,Kamala Karki,Ram Karki,Rita Karki,Sabita Karki
Ramesh Shrestha,Shyam Shrestha,FT7078983,2006-11-25,2020-07-24,Kamala Shrestha,Hari Shrestha,Gita Shrestha,Ramesh Shrestha,Bikash Shrestha,Asha Shrestha,Deepak Shrestha,Sunita Shrestha,Radha Shrestha
Kiran Gurung,Anil Gurung,UF7751164,2023-03-19,2006-09-17,Rita Gurung,Maya Gurung,Asha Gurung,Deepak Gurung,Hari Gurung,Asha Gurung,Sabita Gurung,Radha Gurung,Kamala Gurung
Bikash Gurung,Hari Gurung,CV9158437,2009-07-06,2018-10-23,Radha Gurung,Sabita Gurung,Gita Gurung,Anil Gurung,Ram Gurung,Sunita Gurung,Bikash Gurung,Radha Gurung,Sita Gurung
Gopal Thapa,Shyam Thapa,LA5665170,2011-04-07,2011-12-09,Rita Thapa,Bikash Thapa,Gita Thapa,Kiran Thapa,Ram Thapa,Maya Thapa,Bikash Thapa,Gita Thapa,Kamala Thapa
Deepak Gurung,Anil Gurung,LH9703618,2018-01-30,2009-10-10,Kamala Gurung,Rita Gurung,Sabita Gurung,Deepak Gurung,Deepak Gurung,Sunita Gurung,Gopal Gurung,Asha Gurung,Radha Gurung
Kiran Rijal,Anil Rijal,KG9116585,2024-03-01,2023-01-20,Sunita Rijal,Gita Rijal,Kamala Rijal,Manoj Rijal,Hari Rijal,Maya Rijal,Sabita Rijal,Sunita Rijal,Rita Rijal
Ramesh Adhikari,Ramesh Adhikari,UO8524207,2009-03-30,2017-09-10,Asha Adhikari,Radha Adhikari,Laxmi Adhikari,Deepak Adhikari,Kiran Adhikari,Maya Adhikari,Ramesh Adhikari,Sita Adhikari,Sabita Adhikari
Manoj Rijal,Kiran Rijal,GO0442101,2021-01-09,2009-03-29,Gita Rijal,Maya Rijal,Kamala Rijal,Bikash Rijal,Kiran Rijal,Sabita Rijal,Sunita Rijal,Kamala Rijal,Gita Rijal
Gopal Shrestha,Ram Shrestha,SA8020624,2023-08-09,2017-02-05,Rita Shrestha,Bikash Shrestha,Laxmi Shrestha,Manoj Shrestha,Anil Shrestha,Maya Shrestha,Manoj Shrestha,Laxmi Shrestha,Sabita Shrestha
Ram Karki,Deepak Karki,BM6176665,2021-10-19,2006-09-13,Gopal Karki,Sita Karki,Sita Karki,Hari Karki,Shyam Karki,Gita Karki,Manoj Karki,Radha Karki,Maya Karki
Ram Bhattarai,Manoj Bhattarai,IX2790791,2021-01-12,2018-09-24,Rita Bhattarai,Sita Bhattarai,Maya Bhattarai,Bikash Bhattarai,Shyam Bhattarai,Gita Bhattarai,Sita Bhattarai,Sabita Bhattarai,Sunita Bhattarai
Deepak Basnet,Gopal Basnet,QN2886416,2020-08-16,2022-09-24,Asha Basnet,Ram Basnet,Gita Basnet,Manoj Basnet,Deepak Basnet,Laxmi Basnet,Gopal Basnet,Rita Basnet,Kamala Basnet
Ramesh Shrestha,Deepak Shrestha,UN3803013,2018-02-04,2021-03-24,Gita Shrestha,Kamala Shrestha,Laxmi Shrestha,Deepak Shrestha,Bikash Shrestha,Sita Shrestha,Rita Shrestha,Sita Shrestha,Laxmi Shrestha
Deepak Thapa,Ram Thapa,BZ9723155,2017-01-24,2023-04-20,Gita Thapa,Deepak Thapa,Gita Thapa,Ramesh Thapa,Manoj Thapa,Gita Thapa,Sunita Thapa,Maya Thapa,Kamala Thapa
Shyam Rai,Deepak Rai,ST3130816,2013-12-14,2013-08-15,Ram Rai,Manoj Rai,Laxmi Rai,Ram Rai,Ram Rai,Kamala Rai,Ramesh Rai,Asha Rai,Gita Rai
Hari Poudel,Anil Poudel,YK3706835,2015-11-25,2022-07-03,Radha Poudel,Kiran Poudel,Sunita Poudel,Hari Poudel,Ramesh Poudel,Gita Poudel,Shyam Poudel,Maya Poudel,Radha Poudel
Bikash Gurung,Hari Gurung,LA4471578,2023-02-07,2019-12-01,Sita Gurung,Shyam Gurung,Laxmi Gurung,Kiran Gurung,Hari Gurung,Gita Gurung,Sabita Gurung,Gita Gurung,Asha Gurung
Ram Gurung,Ramesh Gurung,RR7789636,2011-11-02,2014-10-03,Deepak Gurung,Rita Gurung,Maya Gurung,Gopal Gurung,Gopal Gurung,Maya Gurung,Rita Gurung,Kamala Gurung,Kamala Gurung
Kiran Rijal,Ramesh Rijal,JS2645731,2010-07-26,2019-09-09,Shyam Rijal,Asha Rijal,Kamala Rijal,Deepak Rijal,Ram Rijal,Laxmi Rijal,Hari Rijal,Radha Rijal,Sita Rijal
Kiran Lama,Manoj Lama,RA7952585,2013-07-16,2006-10-04,Deepak Lama,Ramesh Lama,Radha Lama,Ram Lama,Manoj Lama,Gita Lama,Kamala Lama,Rita Lama,Sita Lama
Bikash Tamang,Shyam Tamang,JX5440852,2014-10-29,2011-08-01,Deepak Tamang,Ram Tamang,Maya Tamang,Manoj Tamang,Gopal Tamang,Sabita Tamang,Radha Tamang,Rita Tamang,Gita Tamang
Ramesh Regmi,Bikash Regmi,FR3562372,2017-02-04,2017-09-25,Maya Regmi,Anil Regmi,Asha Regmi,Shyam Regmi,Gopal Regmi,Sabita Regmi,Asha Regmi,Kamala Regmi,Gita Regmi
Shyam Thapa,Gopal Thapa,RT5510750,2017-05-02,2024-01-24,Laxmi Thapa,Radha Thapa,Maya Thapa,Kiran Thapa,Ramesh Thapa,Kamala Thapa,Shyam Thapa,Asha Thapa,Radha Thapa
Shyam Thapa,Shyam Thapa,FU8280720,2017-11-26,2017-04-12,Hari Thapa,Shyam Thapa,Sunita Thapa,Gopal Thapa,Manoj Thapa,Laxmi Thapa,Gita Thapa,Rita Thapa,Kamala Thapa
Manoj Adhikari,Hari Adhikari,NG0981912,2006-07-07,2010-03-14,Kamala Adhikari,Hari Adhikari,Laxmi Adhikari,Anil Adhikari,Shyam Adhikari,Sunita Adhikari,Asha Adhikari,Laxmi Adhikari,Gita Adhikari
Gopal Regmi,Kiran Regmi,DH0859780,2008-05-29,2016-12-08,Gopal Regmi,Sabita Regmi,Rita Regmi,Anil Regmi,Shyam Regmi,Maya Regmi,Radha Regmi,Sabita Regmi,Laxmi Regmi
Anil Subedi,Manoj Subedi,GT0930488,2022-05-24,2018-04-04,Sita Subedi,Gita Subedi,Sabita Subedi,Manoj Subedi,Manoj Subedi,Rita Subedi,Gita Subedi,Rita Subedi,Radha Subedi
Manoj Gurung,Bikash Gurung,ZI0742955,2021-05-29,2022-04-03,Radha Gurung,Gita Gurung,Sabita Gurung,Bikash Gurung,Bikash Gurung,Asha Gurung,Asha Gurung,Sabita Gurung,Laxmi Gurung
Anil Subedi,Hari Subedi,FB2888460,2008-12-20,2013-04-08,Bikash Subedi,Radha Subedi,Gita Subedi,Shyam Subedi,Hari Subedi,Sita Subedi,Radha Subedi,Sunita Subedi,Kamala Subedi
Kiran Poudel,Kiran Poudel,EB4295913,2020-11-10,2021-03-13,Ramesh Poudel,Laxmi Poudel,Sabita Poudel,Shyam Poudel,Manoj Poudel,Rita Poudel,Asha Poudel,Sunita Poudel,Rita Poudel
Kiran Thapa,Kiran Thapa,JZ6331777,2011-12-25,2018-06-19,Laxmi Thapa,Maya Thapa,Laxmi Thapa,Ramesh Thapa,Anil Thapa,Gita Thapa,Deepak Thapa,Sita Thapa,Sabita Thapa
Bikash Karki,Hari Karki,GD6878367,2021-08-22,2022-08-23,Gita Karki,Manoj Karki,Kamala Karki,Manoj Karki,Hari Karki,Asha Karki,Deepak Karki,Asha Karki,Sunita Karki
Hari Acharya,Ramesh Acharya,PS7739306,2020-11-25,2014-08-12,Sita Acharya,Manoj Acharya,Laxmi Acharya,Manoj Acharya,Ram Acharya,Sita Acharya,Shyam Acharya,Gita Acharya,Maya Acharya
Deepak Lama,Shyam Lama,YI2761261,2016-12-14,2017-07-16,Ramesh Lama,Bikash Lama,Rita Lama,Deepak Lama,Anil Lama,Sunita Lama,Manoj Lama,Kamala Lama,Kamala Lama
Shyam Bhattarai,Ram Bhattarai,QF7948417,2019-09-08,2012-09-23,Hari Bhattarai,Gita Bhattarai,Rita Bhattarai,Bikash Bhattarai,Anil Bhattarai,Maya Bhattarai,Maya Bhattarai,Kamala Bhattarai,Kamala Bhattarai
Anil Karki,Ram Karki,YP4451429,2008-01-01,2016-09-24,Ram Karki,Kiran Karki,Sabita Karki,Manoj Karki,Manoj Karki,Asha Karki,Rita Karki,Sabita Karki,Maya Karki
Bikash Adhikari,Ram Adhikari,GW3792237,2019-12-21,2023-04-21,Shyam Adhikari,Asha Adhikari,Laxmi Adhikari,Manoj Adhikari,Manoj Adhikari,Rita Adhikari,Radha Adhikari,Sunita Adhikari,Radha Adhikari
Manoj Bhattarai,Deepak Bhattarai,PU7532359,2010-05-09,2006-07-22,Manoj Bhattarai,Deepak Bhattarai,Asha Bhattarai,Gopal Bhattarai,Kiran Bhattarai,Maya Bhattarai,Ram Bhattarai,Gita Bhattarai,Radha Bhattarai
Ram Magar,Gopal Magar,GG2123554,2007-09-12,2016-10-09,Bikash Magar,Shyam Magar,Kamala Magar,Deepak Magar,Kiran Magar,Asha Magar,Shyam Magar,Sita Magar,Maya Magar
Shyam Magar,Deepak Magar,JC8901929,2020-09-26,2014-04-12,Rita Magar,Radha Magar,Maya Magar,Bikash Magar,Manoj Magar,Rita Magar,Sunita Magar,Asha Magar,Radha Magar
Kiran Regmi,Gopal Regmi,NN4097285,2017-11-10,2024-04-10,Hari Regmi,Kamala Regmi,Sabita Regmi,Bikash Regmi,Ramesh Regmi,Asha Regmi,Gita Regmi,Sabita Regmi,Gita Regmi
Hari Regmi,Anil Regmi,BJ7681859,2009-07-28,2021-03-21,Maya Regmi,Kiran Regmi,Rita Regmi,Gopal Regmi,Gopal Regmi,Sunita Regmi,Hari Regmi,Maya Regmi,Gita Regmi
Shyam Dhakal,Shyam Dhakal,KR0183557,2018-04-20,2016-12-02,Sunita Dhakal,Hari Dhakal,Radha Dhakal,Shyam Dhakal,Hari Dhakal,Maya Dhakal,Gopal Dhakal,Gita Dhakal,Sabita Dhakal
Anil Shrestha,Ram Shrestha,TL2696771,2009-08-04,2009-01-14,Gopal Shrestha,Ramesh Shrestha,Sita Shrestha,Anil Shrestha,Shyam Shrestha,Sunita Shrestha,Asha Shrestha,Radha Shrestha,Maya Shrestha
Gopal Karki,Hari Karki,HP1485440,2016-11-27,2022-10-17,Gita Karki,Bikash Karki,Laxmi Karki,Shyam Karki,Shyam Karki,Laxmi Karki,Sabita Karki,Rita Karki,Gita Karki
Hari Shrestha,Ramesh Shrestha,PQ9656107,2015-03-30,2006-11-19,Rita Shrestha,Asha Shrestha,Maya Shrestha,Hari Shrestha,Gopal Shrestha,Rita Shrestha,Anil Shrestha,Laxmi Shrestha,Sunita Shrestha
Shyam Adhikari,Kiran Adhikari,YX3753195,2012-08-28,2020-07-27,Anil Adhikari,Deepak Adhikari,Sita Adhikari,Manoj Adhikari,Ram Adhikari,Kamala Adhikari,Hari Adhikari,Sabita Adhikari,Sita Adhikari
Anil KC,Hari KC,ST8740545,2009-11-28,2012-02-22,Maya KC,Manoj KC,Rita KC,Kiran KC,Deepak KC,Maya KC,Kiran KC,Laxmi KC,Sita KC
